Cancer Type,Both sexes combined,Female,Male
All cancer types combined,595690,281400,314290
Brain and other nervous system,16050,6610,9440
Breast,40890,40450,440
Cervix,4120,4120,n/a
Colorectum,49190,23170,26020
Esophagus,15690,2970,12720
Hodgkin lymphoma,1120,480,640
Kidney and renal pelvis,14240,5000,9240
Larynx,3620,730,2890
Leukemia,24400,10270,14130
Liver and intrahepatic bile duct,27170,8890,18280
Lung and bronchus,158080,72160,85920
Melanoma of the skin,10130,3380,6750
Myeloma,12650,6220,6430
Non-Hodgkin lymphoma,20150,8630,11520
Oral cavity and pharynx,9570,2660,6910
Ovary,14240,14240,n/a
Pancreas,41780,20330,21450
Prostate,26120,n/a,26120
Stomach,10730,4190,6540
Testis,380,n/a,380
Thyroid,1980,1070,910
Urinary bladder,16390,4570,11820
Uterine corpus,10470,10470,n/a
